Date,CLOSE,HIGH,LOW,OPEN,VOLUME
2009-08-13,686.047,,,,
2009-08-14,686.047,,,,
2009-08-17,686.047,,,,
2009-08-18,686.047,,,,
2009-08-19,686.088,,,,
2009-08-20,686.095,,,,
2009-08-21,686.095,,,,
2009-08-24,686.102,,,,
2009-08-25,686.123,,,,
2009-08-26,686.136,,,,
2009-08-27,686.136,,,,
2009-08-28,686.136,,,,
2009-08-31,686.143,,,,
2009-09-01,686.177,,,,
2009-09-02,686.177,,,,
2009-09-03,686.198,,,,
2009-09-04,686.184,,,,
2009-09-08,686.191,,,,
2009-09-09,686.198,,,,
2009-09-10,686.198,,,,
2009-09-11,686.198,,,,
2009-09-14,686.205,,,,
2009-09-15,686.226,,,,
2009-09-16,686.28,,,,
2009-09-17,686.294,,,,
2009-09-18,686.322,,,,
2009-09-21,686.315,,,,
2009-09-22,686.315,,,,
2009-09-23,686.315,,,,
2009-09-24,686.315,,,,
2009-09-25,686.328,,,,
2009-09-28,686.342,,,,
2009-09-29,686.328,,,,
2009-10-01,686.349,,,,
2009-10-02,686.349,,,,
2009-10-05,686.356,,,,
2009-10-06,686.356,,,,
2009-10-07,686.39,,,,
2009-10-08,686.39,,,,
2009-10-09,686.376,,,,
2009-10-12,686.382,,,,
2009-10-13,686.397,,,,
2009-10-14,686.404,,,,
2009-10-15,686.404,,,,
2009-10-16,686.404,,,,
2009-10-19,686.383,,,,
2009-10-20,686.397,,,,
2009-10-21,686.411,,,,
2009-10-22,686.425,,,,
2009-10-23,686.431,,,,
2009-10-26,686.431,,,,
2009-10-27,686.431,,,,
2009-10-28,686.445,,,,
2009-10-29,686.459,,,,
2009-10-30,686.459,,,,
2009-11-02,686.465,,,,
2009-11-03,686.479,,,,
2009-11-04,686.486,,,,
2009-11-05,686.499,,,,
2009-11-06,686.486,,,,
2009-11-09,686.486,,,,
2009-11-10,686.486,,,,
2009-11-11,686.487,,,,
2009-11-12,686.506,,,,
2009-11-13,686.506,,,,
2009-11-16,686.506,,,,
2009-11-18,686.547,,,,
2009-11-20,686.547,,,,
2009-11-23,686.534,,,,
2009-11-24,686.534,,,,
2009-11-25,686.534,,,,
2009-11-27,686.534,,,,
2009-11-30,686.534,,,,
2009-12-01,686.561,,,,
2009-12-02,686.568,,,,
2009-12-03,686.568,,,,
2009-12-04,686.568,,,,
2009-12-07,686.602,,,,
2009-12-08,686.616,,,,
2009-12-09,686.602,,,,
2009-12-10,686.602,,,,
2009-12-11,686.602,,,,
2009-12-14,686.602,,,,
2009-12-15,686.602,,,,
2009-12-16,686.602,,,,
2009-12-17,686.616,,,,
2009-12-18,686.616,,,,
2009-12-21,686.602,,,,
2009-12-22,686.596,,,,
2009-12-23,686.616,,,,
2009-12-24,686.616,,,,
2009-12-28,686.609,,,,
2009-12-29,686.596,,,,
2009-12-30,686.616,,,,
2010-01-04,686.582,,,,
2010-01-05,686.582,,,,
2010-01-06,686.609,,,,
2010-01-07,686.609,,,,
2010-01-08,686.616,,,,
2010-01-11,686.644,,,,
2010-01-12,686.644,,,,
2010-01-13,686.616,,,,
2010-01-14,686.63,,,,
2010-01-18,686.605,,,,
2010-01-19,686.623,,,,
2010-01-20,686.637,,,,
2010-01-21,686.623,,,,
2010-01-22,686.623,,,,
2010-01-25,686.623,,,,
2010-01-26,686.63,,,,
2010-01-27,686.616,,,,
2010-01-28,686.616,,,,
2010-01-29,686.63,,,,
2010-02-01,686.614,,,,
2010-02-02,686.614,,,,
2010-02-03,686.621,,,,
2010-02-04,686.621,,,,
2010-02-05,686.621,,,,
2010-02-08,686.614,,,,
2010-02-09,686.614,,,,
2010-02-10,686.614,,,,
2010-02-11,686.635,,,,
2010-02-12,686.648,,,,
2010-02-16,686.655,,,,
2010-02-17,686.655,,,,
2010-02-18,686.655,,,,
2010-02-19,686.662,,,,
2010-02-22,686.676,,,,
2010-02-23,686.642,,,,
2010-02-24,686.642,,,,
2010-02-25,686.648,,,,
2010-02-26,686.648,,,,
2010-03-01,686.654,,,,
2010-03-02,686.64,,,,
2010-03-03,686.627,,,,
2010-03-04,686.647,,,,
2010-03-05,686.634,,,,
2010-03-08,686.64,,,,
2010-03-09,686.64,,,,
2010-03-10,686.647,,,,
2010-03-11,686.647,,,,
2010-03-12,686.647,,,,
2010-03-15,686.647,,,,
2010-03-16,686.647,,,,
2010-03-17,686.661,,,,
2010-03-18,686.668,,,,
2010-03-19,686.654,,,,
2010-03-22,686.675,,,,
2010-03-23,686.695,,,,
2010-03-24,686.695,,,,
2010-03-25,686.695,,,,
2010-03-26,686.709,,,,
2010-03-29,686.709,,,,
2010-03-30,686.695,,,,
2010-04-01,686.682,,,,
2010-04-05,686.682,,,,
2010-04-06,686.682,,,,
2010-04-07,686.688,,,,
2010-04-08,686.675,,,,
2010-04-09,686.675,,,,
2010-04-12,686.716,,,,
2010-04-13,686.73,,,,
2010-04-14,686.716,,,,
2010-04-15,686.723,,,,
2010-04-16,686.723,,,,
2010-04-19,686.73,,,,
2010-04-20,686.737,,,,
2010-04-21,686.737,,,,
2010-04-22,686.73,,,,
2010-04-23,686.73,,,,
2010-04-26,686.737,,,,
2010-04-27,686.743,,,,
2010-04-28,686.737,,,,
2010-04-29,686.737,,,,
2010-05-03,686.75,,,,
2010-05-04,686.757,,,,
2010-05-05,686.778,,,,
2010-05-06,686.86,,,,
2010-05-07,686.812,,,,
2010-05-10,686.791,,,,
2010-05-11,686.791,,,,
2010-05-12,686.778,,,,
2010-05-13,686.785,,,,
2010-05-14,686.798,,,,
2010-05-17,686.798,,,,
2010-05-18,686.771,,,,
2010-05-19,686.798,,,,
2010-05-20,686.805,,,,
2010-05-21,686.805,,,,
2010-05-24,686.819,,,,
2010-05-25,686.819,,,,
2010-05-26,686.833,,,,
2010-05-27,686.84,,,,
2010-05-28,686.84,,,,
2010-06-02,686.887,,,,
2010-06-03,686.907,,,,
2010-06-04,686.907,,,,
2010-06-07,686.928,,,,
2010-06-08,686.948,,,,
2010-06-09,686.962,,,,
2010-06-14,687.045,,,,
2010-06-15,687.003,,,,
2010-06-16,686.99,,,,
2010-06-17,686.997,,,,
2010-06-18,686.997,,,,
2010-06-21,686.99,,,,
2010-06-22,686.962,,,,
2010-06-23,686.976,,,,
2010-06-24,686.969,,,,
2010-06-25,686.983,,,,
2010-06-28,686.969,,,,
2010-06-29,686.969,,,,
2010-06-30,686.928,,,,
2010-07-01,686.948,,,,
2010-07-02,686.969,,,,
2010-07-06,686.983,,,,
2010-07-07,686.983,,,,
2010-07-08,687.003,,,,
2010-07-09,687.003,,,,
2010-07-12,687.031,,,,
2010-07-13,687.031,,,,
2010-07-14,687.038,,,,
2010-07-15,687.024,,,,
2010-07-16,687.024,,,,
2010-07-19,687.024,,,,
2010-07-20,687.024,,,,
2010-07-21,687.024,,,,
2010-07-22,687.031,,,,
2010-07-23,687.045,,,,
2010-07-26,687.052,,,,
2010-07-27,687.058,,,,
2010-07-28,687.058,,,,
2010-07-29,687.065,,,,
2010-07-30,687.052,,,,
2010-08-02,687.059,,,,
2010-08-03,687.066,,,,
2010-08-04,687.066,,,,
2010-08-05,687.087,,,,
2010-08-06,687.073,,,,
2010-08-09,687.08,,,,
2010-08-10,687.08,,,,
2010-08-11,687.087,,,,
2010-08-12,687.087,,,,
2010-08-13,687.087,,,,
2010-08-16,687.1,,,,
2010-08-17,687.087,,,,
2010-08-18,687.1,,,,
2010-08-19,687.107,,,,
2010-08-20,687.107,,,,
2010-08-23,687.114,,,,
2010-08-24,687.121,,,,
2010-08-25,687.135,,,,
2010-08-26,687.148,,,,
2010-08-27,687.128,,,,
2010-08-30,687.135,,,,
2010-08-31,687.135,,,,
2010-09-01,687.135,,,,
2010-09-02,687.141,,,,
2010-09-03,687.141,,,,
2010-09-07,687.148,,,,
2010-09-08,687.155,,,,
2010-09-09,687.155,,,,
2010-09-10,687.155,,,,
2010-09-13,687.162,,,,
2010-09-14,687.169,,,,
2010-09-15,687.169,,,,
2010-09-16,687.155,,,,
2010-09-17,687.176,,,,
2010-09-20,687.155,,,,
2010-09-21,687.169,,,,
2010-09-22,687.176,,,,
2010-09-23,687.162,,,,
2010-09-24,687.19,,,,
2010-09-27,687.197,,,,
2010-09-28,687.21,,,,
2010-09-29,687.155,,,,
2010-10-01,687.169,,,,
2010-10-04,687.196,,,,
2010-10-05,687.217,,,,
2010-10-06,687.203,,,,
2010-10-07,687.217,,,,
2010-10-08,687.224,,,,
2010-10-11,687.233,,,,
2010-10-12,687.231,,,,
2010-10-13,687.238,,,,
2010-10-14,687.224,,,,
2010-10-15,687.224,,,,
2010-10-18,687.238,,,,
2010-10-19,687.238,,,,
2010-10-20,687.238,,,,
2010-10-21,687.258,,,,
2010-10-22,687.258,,,,
2010-10-25,687.265,,,,
2010-10-26,687.272,,,,
2010-10-27,687.272,,,,
2010-10-28,687.272,,,,
2010-10-29,687.279,,,,
2010-11-01,687.3,,,,
2010-11-02,687.307,,,,
2010-11-03,687.321,,,,
2010-11-04,687.327,,,,
2010-11-05,687.314,,,,
2010-11-08,687.321,,,,
2010-11-09,687.321,,,,
2010-11-10,687.334,,,,
2010-11-11,687.337,,,,
2010-11-12,687.341,,,,
2010-11-15,687.348,,,,
2010-11-16,687.348,,,,
2010-11-17,687.334,,,,
2010-11-18,687.327,,,,
2010-11-19,687.327,,,,
2010-11-22,687.334,,,,
2010-11-23,687.314,,,,
2010-11-24,687.314,,,,
2010-11-25,687.316,,,,
2010-11-26,687.321,,,,
2010-11-29,687.314,,,,
2010-11-30,687.321,,,,
2010-12-01,687.341,,,,
2010-12-02,687.341,,,,
2010-12-03,687.348,,,,
2010-12-06,687.369,,,,
2010-12-07,687.369,,,,
2010-12-08,687.389,,,,
2010-12-09,687.403,,,,
2010-12-10,687.424,,,,
2010-12-13,687.403,,,,
2010-12-14,687.417,,,,
